venue,num_papers
international conference on global software engineering,422
Information Technology & People,421
international on-line testing symposium,421
Communications of The Ais,420
rewriting techniques and applications,420
Language and Linguistics Compass,419
pacific-rim symposium on image and video technology,419
"arXiv: Computational Engineering, Finance, and Science",419
microelectronics systems education,418
Cognitive Computation,417
european conference on cognitive ergonomics,417
european conference on object-oriented programming,417
IEEE Transactions on Electronic Computers,417
ACM Transactions on Sensor Networks,416
A Quarterly Journal of Operations Research,416
languages and compilers for parallel computing,415
"ACM Transactions on Multimedia Computing, Communications, and Applications",415
International Journal of Network Security,414
computer aided modeling and design of communication links and networks,414
International Journal of Data Mining and Bioinformatics,414
international conference on information security and cryptology,414
"symposium/workshop on electronic design, test and applications",414
Computers and The Humanities,414
inductive logic programming,413
networked systems design and implementation,413
grid and pervasive computing,413
tests and proofs,413
service-oriented computing and applications,411
"International Journal of Wavelets, Multiresolution and Information Processing",411
pattern recognition and machine intelligence,411
theory and applications of satisfiability testing,410
The Journal of Logic and Algebraic Programming,409
ACM Transactions on Modeling and Computer Simulation,409
workshop on parallel and distributed simulation,408
international symposium on memory management,408
asia information retrieval symposium,407
Praxis Der Wirtschaftsinformatik,407
cellular automata for research and industry,406
PLOS ONE,406
ACM Transactions on Intelligent Systems and Technology,405
european symposium on research in computer security,404
International Game Theory Review,404
Iet Computers and Digital Techniques,404
international symposium on industrial embedded systems,403
security of information and networks,403
symposium on code generation and optimization,401
Computer Science and Information Systems,401
Problems of Information Transmission,399
digital image computing techniques and applications,397
BMC Medical Imaging,397
international conference on mobile and ubiquitous systems: networking and services,397
Discrete Optimization,396
Logical Methods in Computer Science,396
workshop on algorithms in bioinformatics,396
international professional communication conference,396
quantitative evaluation of systems,395
Reliable Computing,395
Oclc Systems & Services,395
Central European Journal of Operations Research,394
Geoinformatica,394
digital identity management,393
"Journal of Logic, Language and Information",392
"simulation tools and techniques for communications, networks and system",391
Advances in Computers,391
Electronic Markets,391
Cognitive Systems Research,391
Virtual Reality,391
Adaptive Behavior,391
International Journal of Biomedical Imaging,391
content based multimedia indexing,390
IEEE Transactions on Services Computing,390
Frontiers in Neuroinformatics,390
Ai Communications,389
brazilian symposium on multimedia and the web,388
product focused software process improvement,388
"Genomics, Proteomics & Bioinformatics",388
workshop on algorithms and data structures,387
Journal of Intelligent Transportation Systems,387
Frontiers in Education,387
workshop on information security applications,387
high assurance systems engineering,387
information security,387
International Journal of Digital Earth,387
Iet Image Processing,384
medical informatics europe,383
Computer Science Education,383
International Journal of Image and Graphics,383
summer computer simulation conference,383
information processing and management of uncertainty,382
International Journal of Bioinformatics Research and Applications,380
Optical Switching and Networking,380
ACM Transactions on Computational Logic,380
pacific rim international conference on multi-agents,380
international conference on contemporary computing,379
hellenic conference on artificial intelligence,378
simulated evolution and learning,377
Foundations of Computational Mathematics,376
pacific conference on computer graphics and applications,376
international conference on software engineering advances,376
portuguese conference on artificial intelligence,375
Journal of Visualization,373
artificial intelligence in medicine in europe,373
ieee international conference on automatic face and gesture recognition,373
Information Retrieval,373
theory and applications of models of computation,373
International Journal of Applied Mathematics and Computer Science,371
principles and practice of declarative programming,371
"international conference / workshop on embedded computer systems: architectures, modeling and simulation",369
Journal of Geographical Systems,367
international conference on the theory and application of cryptology and information security,366
Digital Creativity,366
Computational and Mathematical Organization Theory,365
usenix large installation systems administration conference,365
international work-conference on the interplay between natural and artificial computation,365
international conference on genetic and evolutionary computing,365
application specific systems architectures and processors,364
International Journal of Electronic Commerce,364
computer games,363
next generation internet,363
Distributed and Parallel Databases,363
active media technology,362
international workshop on digital watermarking,362
International Journal of Humanoid Robotics,362
ACM Transactions on Algorithms,362
Journal of Functional Programming,360
mobile ad-hoc and sensor networks,360
arXiv: Formal Languages and Automata Theory,360
IEEE Technology and Society Magazine,358
Connection Science,358
information and communication technologies and development,358
symposium on access control models and technologies,358
automated technology for verification and analysis,358
high level design validation and test,358
IEEE Transactions on Network and Service Management,357
International Journal on Document Analysis and Recognition,357
International Journal of Systems Assurance Engineering and Management,356
international conference on embedded software and systems,356
international conference on artificial intelligence and law,356
participatory design conference,356
international conference on database theory,355
electronic commerce and web technologies,354
communications and networking symposium,353
vehicular networking conference,353
international conference on computer vision theory and applications,353
pacific-asia conference on knowledge discovery and data mining,352
international workshop on combinatorial image analysis,352
european conference on object oriented programming,352
international conference on performance engineering,352
"robotics, automation and mechatronics",352
International Journal of Satellite Communications and Networking,351
architectures for networking and communications systems,351
pacific symposium on biocomputing,351
theorem proving in higher order logics,349
Topics in Cognitive Science,349
workshop on graph theoretic concepts in computer science,348
Symmetry,348
Journal of Strategic Information Systems,348
information technology interfaces,348
image and vision computing new zealand,347
applied reconfigurable computing,347
software engineering and knowledge engineering,346
Cryptologia,346
Australasian Journal of Information Systems,345
modeling analysis and simulation on computer and telecommunication systems,345
acm/ieee international conference on mobile computing and networking,344
Operational Research,344
spring conference on computer graphics,344
international conference on information technology new generations,344
source code analysis and manipulation,344
Ingénierie Des Systèmes D'information,343
international conference on reliable software technologies,342
International Journal of Cooperative Information Systems,342
Information Technology & Management,342
Journal of Information & Knowledge Management,342
international conference on application of concurrency to system design,342
Human-Computer Interaction,341
international conference on distributed computing and internet technology,341
Neuroinformatics,340
Journal of Web Semantics,340
ACM Transactions on Software Engineering and Methodology,340
european conference on computer systems,340
international conference on informatics in control automation and robotics,340
theoretical aspects of software engineering,340
workshop on image analysis for multimedia interactive services,339
management of emergent digital ecosystems,339
network and system security,338
International Journal of Networking and Virtual Organisations,338
international conference on computer vision systems,338
Systems Engineering,337
latin american symposium on theoretical informatics,337
integer programming and combinatorial optimization,336
ACM Sigapl Apl Quote Quad,336
international conference on principles of distributed systems,336
IEEE Micro,334
Discrete Event Dynamic Systems,334
ACM Transactions on Computer Systems,333
language and automata theory and applications,333
international conference on supporting group work,333
workshop on applications of signal processing to audio and acoustics,333
Interactions,332
International Journal of Social Robotics,331
formal methods in computer-aided design,330
Journal of Applied Logic,330
IEEE Transactions on Haptics,330
international conference on networking and services,330
Open Systems & Information Dynamics,329
Journal of Software Maintenance and Evolution: Research and Practice,329
The International Arab Journal of Information Technology,329
Algorithms,329
Real-time Imaging,328
acs ieee international conference on computer systems and applications,328
annual simulation symposium,328
intelligent data acquisition and advanced computing systems: technology and applications,327
international multiconference on computer science and information technology,327
wireless and optical communications networks,327
The Journal of Object Technology,326
Knowledge Engineering Review,325
Fuzzy Optimization and Decision Making,325
conference on combinatorial optimization and applications,325
International Journal of Information Security,325
cyber-enabled distributed computing and knowledge discovery,324
International Journal of Web Based Communities,324
Journal of the Brazilian Computer Society,323
international conference on adaptive and natural computing algorithms,323
Information Research,323
component based software engineering,322
Journal of Computing in Higher Education,322
international conference on formal engineering methods,321
british national conference on databases,321
Theory in Biosciences,321
"International Journal of Parallel, Emergent and Distributed Systems",321
wireless algorithms systems and applications,320
Information Systems and E-business Management,320
International Journal of Intelligent Systems Technologies and Applications,319
international conference on e-learning and games,319
Enterprise Information Systems,319
international conference on agents and artificial intelligence,319
Electronic Commerce Research,318
fundamentals of computation theory,316
Sigact News,316
international conference on electrical engineering and informatics,316
international conference on cryptology in india,316
network and operating system support for digital audio and video,315
Constraints - An International Journal,315
Journal of High Speed Networks,315
Journal of Biomedical Semantics,314
fast software encryption,313
Natural Language Engineering,313
recent advances in intrusion detection,313
Journal of Decision Systems,311
Technique Et Science Informatiques,311
testbeds and research infrastructures for the development of networks and communities,311
algebraic methodology and software technology,310
computational intelligence and data mining,310
international conference on hybrid information technology,310
quality of multimedia experience,309
ACM Queue,309
communication system software and middleware,308
brazilian symposium on artificial intelligence,308
frontier of computer science and technology,308
Iet Information Security,308
international conference on evolvable systems,307
Journal of Cryptology,307
Annual Reviews in Control,307
"automation, robotics and control systems",306
Journal of Computer Security,306
practical aspects of declarative languages,305
Journal of The London Mathematical Society-second Series,305
international conference on smart homes and health telematics,305
Journal of Mathematical Modelling and Algorithms,304
pacific-asia workshop on computational intelligence and industrial application,304
Journal of Organizational Computing and Electronic Commerce,303
networks-on-chips,303
Journal of Logic Programming,303
operating systems design and implementation,303
international conference on electronic publishing,302
Mathematics in Computer Science,302
usenix conference on file and storage technologies,302
international symposium on wearable computers,302
Informatik Spektrum,301
ACM Sigbed Review,301
"Software Testing, Verification & Reliability",300
Communication Research,300
eurographics symposium on rendering techniques,299
international symposium on computational intelligence and design,299
computer information systems and industrial management applications,298
optical network design and modelling,297
integration of ai and or techniques in constraint programming,297
information technology based higher education and training,297
international conference on web based learning,297
International Journal of Information Technology and Management,297
workshop on positioning navigation and communication,296
Parallel Algorithms and Applications,295
IEEE Transactions on Human-Machine Systems,295
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,295
International Journal of Online Engineering (ijoe),295
international computing education research workshop,294
"international conference on mems, nano, and smart systems",294
web information systems modeling,293
international on line testing symposium,293
partial evaluation and semantic-based program manipulation,293
passive and active network measurement,292
"sensor, mesh and ad hoc communications and networks",292
User Modeling and User-adapted Interaction,292
ACM Journal on Emerging Technologies in Computing Systems,292
Journal of Quantitative Linguistics,292
Information Economics and Policy,291
international conference in central europe on computer graphics and visualization,290
"knowledge acquisition, modeling and management",290
Innovations in Systems and Software Engineering,290
World Wide Web,289
euro american conference on telematics and information systems,289
Digital Investigation,288
swarm evolutionary and memetic computing,287
Computer Languages,287
international conference on case based reasoning,287
recent advances in natural language processing,287
international conference on web-based learning,287
International Journal of Information and Communication Technology Education,286
asia pacific web conference,286
International Journal of Computational Intelligence and Applications,286
flexible query answering systems,286
mobility management and wireless access,286
software engineering and formal methods,286
international joint conference on automated reasoning,286
international conference on signal and image processing applications,286
network and system support for games,285
international conference on information systems security,285
distributed computing and artificial intelligence,285
Machine Translation,284
Electronic Colloquium on Computational Complexity,283
aspect-oriented software development,283
scandinavian workshop on algorithm theory,283
international conference on sensor networks,282
verification model checking and abstract interpretation,282
Information Resources Management Journal,282
international conference on persuasive technology,282
international conference on coordination models and languages,281
IET Software,281
working conference on virtual enterprises,280
Algorithms for Molecular Biology,280
Genetic Programming and Evolvable Machines,279
"next generation mobile applications, services and technologies",279
virtual environments human computer interfaces and measurement systems,278
ACM Sigcas Computers and Society,278
Design Automation for Embedded Systems,278
conference on spatial information theory,277
energy minimization methods in computer vision and pattern recognition,277
international conference on artificial immune systems,277
"Eurasip Journal on Audio, Speech, and Music Processing",276
india software engineering conference,276
computer science symposium in russia,276
Physical Communication,275
rules and rule markup languages for the semantic web,274
International Journal of Embedded Systems,274
International Journal on Digital Libraries,273
brazilian symposium on neural networks,273
world summit on the knowledge society,273
applied cryptography and network security,273
in Silico Biology,273
Health Informatics Journal,273
international conference on knowledge capture,273
"languages, compilers, and tools for embedded systems",272
Journal of Applied Non-Classical Logics,272
mobile ad hoc and sensor networks,272
Earth Science Informatics,271
international conference on computational advances in bio and medical sciences,270
Ire Transactions on Electronic Computers,270
Contexts,270
european solid-state circuits conference,270
software visualization,270
high performance embedded architectures and compilers,269
Bit Numerical Mathematics,268
arXiv: Multimedia,268
Journal of Software: Evolution and Process,267
Information Visualization,267
Artificial Intelligence and Law,267
distributed multimedia systems,267
australasian database conference,266
computer algebra in scientific computing,266
international conference on internet and web applications and services,266
computational aspects of social networks,265
ACM Transactions on Information and System Security,265
modeling decisions for artificial intelligence,265
Future Internet,265
forum on specification and design languages,265
virtual systems and multimedia,264
international conference on autonomic and autonomous systems,264
Computational Management Science,263
international work-conference on artificial and natural neural networks,262
ieee international software metrics symposium,262
IEEE Transactions on Learning Technologies,262
Information Systems Security,262
artificial intelligence methodology systems applications,262
Asymptotic Analysis,261
social informatics,261
Teleoperators and Virtual Environments,261
ACM Transactions on Internet Technology,261
cooperative design visualization and engineering,260
advanced industrial conference on telecommunications,260
Journal of Global Information Management,260
modeling and optimization in mobile ad hoc and wireless networks,260
international conference on security and cryptography,259
Software Engineering Journal,259
asian symposium on programming languages and systems,258
international colloquium on theoretical aspects of computing,258
Journal of Graphics Tools,257
"performance evaluation of wireless ad hoc, sensor, and ubiquitous networks",257
Decision Analysis,257
Künstliche Intelligenz,257
parallel computing in electrical engineering,256
Eurasip Journal on Embedded Systems,256
International Journal of Interactive Mobile Technologies (ijim),255
Software Process: Improvement and Practice,255
database technology and applications,255
IEEE Instrumentation & Measurement Magazine,255
software engineering research and applications,255
Journal of Classification,254
ACM Communications in Computer Algebra,254
Journal of Electronic Commerce in Organizations,254
simulation of adaptive behavior,253
ieee international symposium on workload characterization,253
"Discrete Mathematics, Algorithms and Applications",253
"International Journal of Intelligent Systems in Accounting, Finance & Management",252
vision modeling and visualization,252
International Journal of Services Technology and Management,251
Journal of Interconnection Networks,250
foundations of digital games,250
high performance interconnects,250
americas conference on information systems,249
theoretical aspects of rationality and knowledge,249
International Journal of Bio-inspired Computation,249
principles and practice of programming in java,249
learning and intelligent optimization,249
International Journal of Communication Networks and Distributed Systems,249
arXiv: Multiagent Systems,249
scalable uncertainty management,249
IEEE Internet of Things Journal,249
artificial intelligence applications and innovations,247
workshop on privacy in the electronic society,247
International Journal of Knowledge-based and Intelligent Engineering Systems,247
international symposium on bioinformatics research and applications,247
distributed applications and interoperable systems,247
International Journal of Pervasive Computing and Communications,246
"International Journal of Metadata, Semantics and Ontologies",246
geometric modeling and processing,246
high performance switching and routing,245
arXiv: Sound,245
International Journal of Information and Communication Technology,245
computational methods in systems biology,244
Program: Electronic Library and Information Systems,244
ieee symposium on information visualization,244
new security paradigms workshop,244
Journal of Information Processing Systems,244
cooperative information agents,244
International Journal of Security and Networks,242
"Journal of Information, Communication and Ethics in Society",242
european dependable computing conference,242
artificial intelligence and symbolic computation,242
Computer Science - Research and Development,241
information security practice and experience,241
formal modeling and analysis of timed systems,241
knowledge science engineering and management,241
italian workshop on neural nets,240
latin american web congress,240
"conference on privacy, security and trust",240
IEEE Computer Architecture Letters,239
American Mathematical Monthly,239
field-programmable custom computing machines,239
international colloquium on grammatical inference,239
southwest symposium on image analysis and interpretation,239
artificial general intelligence,238
international conference on image and signal processing,238
international conference on interactive digital storytelling,237
acm ieee joint conference on digital libraries,237
Microprocessing and Microprogramming,237
Vlsi Design,236
International Journal of Electronic Business,236
network based information systems,236
International Journal of Web and Grid Services,235
Annals of Gis \/ Geographic Information Sciences,235
Journal of Computer Science,235
International Journal of Web Information Systems,234
Artificial Intelligence in Engineering,234
symposium on experimental and efficient algorithms,234
workshop on knowledge discovery and data mining,234
IEEE Transactions on Affective Computing,233
motion in games,233
Scientific Reports,233
Interactive Technology and Smart Education,232
Rairo-operations Research,232
software engineering artificial intelligence networking and parallel distributed computing,231
formal techniques for networked and distributed systems,231
intelligent agents,231
"wireless communications, networking and information security",230
Journal of Librarianship and Information Science,230
integrated formal methods,230
generative programming and component engineering,230
Biodata Mining,229
Concurrent Engineering,229
wireless network security,229
virtual execution environments,229
Library Trends,229
Statistical Analysis and Data Mining,228
high-assurance systems engineering,228
computer-aided design and computer graphics,227
The New Review of Hypermedia and Multimedia,227
IEEE Transactions on Computational Intelligence and Ai in Games,227
advanced parallel programming technologies,227
arXiv: Hardware Architecture,227
pattern recognition in bioinformatics,226
International Journal of E-business Research,226
theorem proving with analytic tableaux and related methods,226
Journal of Integrative Bioinformatics,224
international conference on embedded wireless systems and networks,223
"Int'l J. of Communications, Network and System Sciences",223
Journal of Applied Probability,223
multiagent system technologies,222
Sigecom Exchanges,222
Journal of Visualization and Computer Animation,222
ACM Transactions on Reconfigurable Technology and Systems,221
Revista De Informática Teórica E Aplicada,219
symposium on geometry processing,219
web-age information management,219
quality of information and communications technology,219
Legal Studies,218
Journal of Database Management,218
ACM Transactions on Knowledge Discovery From Data,217
international workshop on fuzzy logic and applications,217
Journal on Multimodal User Interfaces,217
knowledge and systems engineering,216
theory of cryptography conference,216
Web Intelligence and Agent Systems: An International Journal,215
graphics recognition,215
hardware oriented security and trust,215
workshop on software and performance,215
data warehousing and olap,215
IEEE Personal Communications,214
international conference on graph transformation,214
Nature,214
IEEE Computational Intelligence Magazine,213
Physica A-statistical Mechanics and Its Applications,213
Journal of Grid Computing,212
Higher-order and Symbolic Computation \/ Lisp and Symbolic Computation,212
Journal of Theoretical and Applied Electronic Commerce Research,212
secure software integration and reliability improvement,212
ACM Transactions on Autonomous and Adaptive Systems,212
International Journal of Learning Technology,212
algorithmic applications in management,212
International Journal of Intelligent Computing and Cybernetics,211
information interaction in context,211
Journal of Cases on Information Technology,211
International Journal of Computing Science and Mathematics,210
International Journal of Enterprise Information Systems,210
wired wireless internet communications,210
"Annales Umcs, Informatica",210
ieee international conference on requirements engineering,209
Spatial Cognition and Computation,209
"Electronic Government, An International Journal",209
International Journal of Intelligent Information and Database Systems,209
ACM Sigada Ada Letters,209
cross-language evaluation forum,209
symposium on large spatial databases,208
workshop on approximation and online algorithms,208
mexican international conference on computer science,208
applied perception in graphics and visualization,208
Intelligent Service Robotics,208
digital information and communication technology and its applications,208
Ubiquity,208
Advanced Data Analysis and Classification,207
signal image technology and internet based systems,207
International Journal of Online Engineering,207
International Journal of Mobile Learning and Organisation,206
"Computer Languages, Systems & Structures",206
ACM Transactions on Asian Language Information Processing,206
rfid technologies and applications,205
international wireless internet conference,205
Information Security Journal: A Global Perspective,205
asia pacific software engineering conference,205
theory and practice of digital libraries,205
International Journal of Geographic Information Systems,204
smart graphics,204
International Journal of Digital Curation,204
computer security foundations workshop,203
international work conference on artificial and natural neural networks,202
Acta Cybernetica,202
bangalore annual compute conference,202
australasian user interface conference,202
International Journal of Business Intelligence and Data Mining,202
international conference on formal concept analysis,202
algorithm engineering and experimentation,202
international conference on mobile multimedia communications,201
international conference on computer supported education,201
arXiv: Emerging Technologies,200
international conference on hybrid learning and education,200
international conference on computational logistics,200
international conference on mobile technology applications and systems,199
ACM Journal of Experimental Algorithms,199
wireless on demand network systems and service,199
advances in recent technologies in communication and computing,198
International Journal of Mathematics in Operational Research,198
environmental science and information application technology,197
international workshop on openmp,197
Journal of Information Processing,196
information security for south africa,196
Nordic Journal of Computing,196
Literary and Linguistic Computing,196
International Journal of Hybrid Intelligent Systems,196
international conference on e learning and games,196
"Proceedings of the Institution of Mechanical Engineers, Part I: Journal of Systems and Control Engineering",195
Multiagent and Grid Systems,195
International Journal of Autonomous and Adaptive Communications Systems,195
Iee Proceedings-software,195
international conference on automation and logistics,195
International Journal of Electronic Security and Digital Forensics,195
International Journal of Web Engineering and Technology,195
asia-pacific network operations and management symposium,194
International Journal of Web Services Research,194
international conference on natural language generation,194
ACM Crossroads Student Magazine,193
"new trends in software methodologies, tools and techniques",192
International Journal of Cognitive Informatics and Natural Intelligence,192
cryptology and network security,191
innovative applications of artificial intelligence,191
Phonetica,191
International Journal of Semantic Computing,191
privacy enhancing technologies,190
D-lib Magazine,190
articulated motion and deformable objects,190
microprocessor test and verification,190
International Journal of Simulation and Process Modelling,190
Notre Dame Journal of Formal Logic,189
ACM Transactions on The Web,189
web reasoning and rule systems,188
annual software engineering workshop,188
european conference on web services,188
arXiv: Probability,188
Monte Carlo Methods and Applications,187
international conference on cyber physical systems,187
european conference on computer supported cooperative work,186
International Journal of Information Acquisition,186
ieee computer security foundations symposium,186
reconfigurable communication centric systems on chip,186
International Journal of Critical Infrastructures,186
"text, speech and dialogue",185
symposium on web systems evolution,185
"doctoral conference on computing, electrical and industrial systems",185
digital game and intelligent toy enhanced learning,185
Memetic Computing,185
trust and privacy in digital business,184
International Journal of Internet Protocol Technology,184
IEEE Embedded Systems Letters,183
"conference on creating, connecting and collaborating through computing",183
international conference on the digital society,182
arXiv: Graphics,182
International Journal of Knowledge and Learning,182
international conference on pervasive services,182
implementation and application of functional languages,182
Datenschutz Und Datensicherheit - Dud,182
IEEE Transactions on Emerging Topics in Computing,182
software and compilers for embedded systems,181
arXiv: Symbolic Computation,181
nasa formal methods,181
symposium on usable privacy and security,181
international conference on case-based reasoning,181
job scheduling strategies for parallel processing,181
Logic Journal of The Igpl \/ Bulletin of The Igpl,180
asian internet engineering conference,180
foundations of computational intelligence,179
International Journal of Grid and Utility Computing,179
Applied Medical Informaticvs,179
international provenance and annotation workshop,179
international conference on systems and networks communications,179
Journal of Simulation,178
Journal of Systems and Information Technology,178
arXiv: Mathematical Software,178
automation of software test,178
IEEE Intelligent Transportation Systems Magazine,178
runtime verification,177
haifa verification conference,177
IEEE Cloud Computing,176
symposium/workshop on haskell,176
Brain Informatics,176
ACM Transactions on Storage,176
Public Library Quarterly,176
Information and Organization,176
algorithmic game theory,175
simulation modeling and programming for autonomous robots,175
International Journal of Healthcare Information Systems and Informatics,175
Elearn,175
Journal of Web Engineering,175
Entertainment Computing,175
web information and data management,174
Eurasip Journal on Bioinformatics and Systems Biology,174
international symposium on experimental robotics,174
Annals of Software Engineering,174
Informatik - Forschung Und Entwicklung,174
IEEE Transactions on Systems Science and Cybernetics,174
"international conference on emerging security information, systems and technologies",173
nano micro engineered and molecular systems,173
Simulation Practice and Theory,173
International Journal of Technology and Human Interaction,173
asia-pacific computer and human interaction,173
autonomous infrastructure management and security,173
foundations of genetic algorithms,172
advanced robotics and its social impacts,172
International Journal of Information Systems and Supply Chain Management,172
International Journal of Advanced Intelligence Paradigms,172
Network Protocols and Algorithms,172
data integration in the life sciences,172
Cryptography and Communications,171
International Journal of Intelligent Information Technologies,171
scalable information systems,171
International Journal of Reconfigurable Computing,170
International Journal of Medical Engineering and Informatics,170
ad hoc mobile and wireless networks,170
acm conference on systems programming languages and applications software for humanity,170
International Journal of Manufacturing Research,170
international conference on cyber-physical systems,169
Information Security Technical Report,169
Information-an International Interdisciplinary Journal,169
Control and Intelligent Systems,169
International Journal of Computational Biology and Drug Design,169
requirements engineering,169
computer music modeling and retrieval,168
Logica Universalis,168
world congress on computational intelligence,168
real time systems symposium,168
Journal of Digital Information Management,167
atlantic web intelligence conference,167
arXiv: Statistics Theory,167
"international conference on computer safety, reliability, and security",167
Advances in Fuzzy Systems,167
Internet Mathematics,167
ACM Sigweb Newsletter,166
high performance computer architecture,166
workshop on intelligent solutions in embedded systems,166
mobile and wireless communication networks,165
Source Code for Biology and Medicine,164
International Journal of Biometrics,164
"international conference on software testing, verification, and validation",164
australasian data mining conference,164
"Inteligencia Artificial,revista Iberoamericana De Inteligencia Artificial",164
international symposium on functional and logic programming,164
conference on innovative data systems research,163
International Journal of Information Security and Privacy,163
intelligent data acquisition and advanced computing systems technology and applications,163
international symposium on electronic commerce and security,163
distributed systems operations and management,163
Sigspatial Special,163
web and wireless geographical information systems,163
International Journal of Data Analysis Techniques and Strategies,162
Networks and Heterogeneous Media,162
arXiv: Logic,162
IEEE Transactions on Professional Communication,162
Dynamic Games and Applications,162
new zealand chapter's international conference on computer-human interaction,162
multiple criteria decision making,161
International Journal of e-Collaboration,161
international symposium on robotics,161
"power and timing modeling, optimization and simulation",160
databases in networked information systems,160
Journal of Low Power Electronics,160
International Journal of Surgery,160
arXiv: Performance,160
similarity search and applications,160
balkan conference in informatics,159
workshop on logic language information and computation,159
international conference on computer modeling and simulation,159
International Journal of Web-based Learning and Teaching Technologies,159
designing pleasurable products and interfaces,159
european conference on interactive tv,158
IEEE Transactions on Applications and Industry,158
vlsi design and test,158
mathematics of program construction,158
software technologies for embedded and ubiquitous systems,158
international conference on learning representations,157
typed lambda calculus and applications,157
Nano Communication Networks,156
analytical and stochastic modeling techniques and applications,156
international conference on algorithms and complexity,155
International Journal of Data Warehousing and Mining,155
international conference on simulation and modeling methodologies technologies and applications,155
International Journal of Satellite Communications,154
International Journal of Computer Processing of Languages,154
International Journal of Computer Network and Information Security,154
java technologies for real-time and embedded systems,154
software language engineering,154
"international performance, computing, and communications conference",154
design of reliable communication networks,153
autonomous and intelligent systems,153
high performance computing systems and applications,153
international work conference on the interplay between natural and artificial computation,153
International Journal of Information Technology and Web Engineering,152
practical aspects of knowledge management,152
International Journal of Computational Engineering Science,152
International Journal of Information Systems and Change Management,152
open source systems,151
siam international conference on data mining,151
visualization for computer security,151
International Journal of Information Systems in The Service Sector,151
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,151
IEEE Transactions on Autonomous Mental Development,151
hot topics in networks,151
international workshop on ambient assisted living,151
International Journal of Distance Education Technologies,150
european public key infrastructure workshop,150
Computer Science,150
IET Biometrics,150
International Journal of Interdisciplinary Telecommunications and Networking,149
Journal of Statistical Mechanics: Theory and Experiment,149
Personal and Ubiquitous Computing,149
International Journal of Business Process Integration and Management,149
provable security,149
conference on privacy security and trust,149
machine vision and human machine interface,148
Journal of Robotics,148
"Journal of Automata, Languages and Combinatorics",148
Informs Transactions on Education,148
information security curriculum development,148
logic based program synthesis and transformation,148
international conference on e business,148
Journal of Software Engineering and Applications,148
mathematical knowledge management,148
formal methods for industrial critical systems,147
Journal of Graph Algorithms and Applications,147
international conference on spatial data mining and geographical knowledge services,147
International Journal of E-health and Medical Communications,147
requirements engineering foundation for software quality,147
International Journal of Knowledge Society Research,147
international conference on model-driven engineering and software development,147
International Journal of Computational Vision and Robotics,147
International Journal of Automation and Control,146
eurographics workshop on parallel graphics and visualization,146
Siam Journal on Scientific and Statistical Computing,146
International Journal of Mobile and Blended Learning,145
International Journal of High Speed Computing,145
International Journal on Semantic Web and Information Systems,145
International Journal of Applied Geospatial Research,145
database programming languages,144
conference on algebra and coalgebra in computer science,143
International Journal of Mobile Human Computer Interaction,143
concept lattices and their applications,143
International Journal of Human Capital and Information Technology Professionals,143
types for proofs and programs,142
foundations of information and knowledge systems,142
mexican conference on pattern recognition,142
IEEE Transactions on Control of Network Systems,142
parallel and distributed computing applications and technologies,142
system-level interconnect prediction,142
Revista Iberoamericana De Tecnologías Del Aprendizaje,142
geographic information science,141
"bioinspired models of network, information, and computing systems",141
randomization and approximation techniques in computer science,141
IEEE Distributed Systems Online,141
International Journal of Information and Computer Security,141
Journal in Computer Virology,140
workshop in information security theory and practice,140
advances in computer-human interaction,140
EPL,139
intelligent technologies for interactive entertainment,139
european conference on computational biology,139
International Journal of Computer Aided Engineering and Technology,139
information security and assurance,139
international conference on legal knowledge and information systems,139
fun with algorithms,138
Games,137
Frontiers in Neurorobotics,137
mathematical methods models and architectures for network security systems,137
International Journal of Knowledge and Systems Science,137
Network Modeling Analysis in Health Informatics and BioInformatics,137
Infor,137
International Journal of Digital Multimedia Broadcasting,137
South African Computer Journal,137
Siam Journal on Financial Mathematics,137
"world of wireless, mobile and multimedia networks",137
workshop on graph-theoretic concepts in computer science,136
Journal of Aerospace Information Systems,136
critical information infrastructures security,136
ACM Journal on Computing and Cultural Heritage,136
privacy in statistical databases,136
IEEE Consumer Electronics Magazine,136
multi agent systems and agent based simulation,136
Revue Dintelligence Artificielle,136
Public Transport,136
Clei Electronic Journal,136
International Journal of Shape Modeling,135
Journal of Digital Information,135
International Journal of Information Technology Project Management,134
Journal of Information Technology Research,134
international congress on mathematical software,134
Evolving Systems,134
asian semantic web conference,133
International Journal of Information Systems and Social Change,133
brazilian symposium on bioinformatics,133
Computer Music Journal,133
International Journal of Information Communication Technologies and Human Development,133
International Journal of Strategic Decision Sciences,133
International Journal of Critical Infrastructure Protection,133
Theory and Applications of Categories,132
artificial neural networks in pattern recognition,132
european solid state circuits conference,132
international conference on signal processing and multimedia applications,132
interactive theorem proving,132
Journal of Systems Integration,131
Advances in Human-computer Interaction,131
robotics automation and mechatronics,131
international conference on web information systems and technologies,131
International Journal of Electronic Healthcare,131
"computer graphics, virtual reality, visualisation and interaction in africa",131
Frontiers in Robotics and AI,130
workshop on program analysis for software tools and engineering,130
frontiers of combining systems,130
ifip international conference on theoretical computer science,130
Cartographica: The International Journal for Geographic Information and Geovisualization,130
european conference on mobile robots,129
Computing and Visualization in Science,129
conference on intelligent text processing and computational linguistics,129
Physical Review Letters,129
international conference on formal methods and models for co design,129
Journal of Internet Services and Applications,129
